model_name,embedding_dim,type,mean,std
GraphSAGE,8,positive,0.93907106,0.008314297
GraphSAGE,16,positive,0.936131,0.006797819
GraphSAGE,32,positive,0.93688166,0.01352522
GraphSAGE,64,positive,0.9527184,0.01528306
GraphSAGE,128,positive,0.95397013,0.00643143
GraphSAGE,256,positive,0.95052654,0.004217671
GraphSAGE,8,negative,0.9518892,0.008453669
GraphSAGE,16,negative,0.96005595,0.005315792
GraphSAGE,32,negative,0.9653217,0.007894593
GraphSAGE,64,negative,0.96459657,0.012636467
GraphSAGE,128,negative,0.97647923,0.003062601
GraphSAGE,256,negative,0.9860317,0.001536655
GraphSAGE,8,all,0.94548017,0.003990241
GraphSAGE,16,all,0.9480934,0.004511842
GraphSAGE,32,all,0.95110166,0.004969779
GraphSAGE,64,all,0.95865744,0.001958071
GraphSAGE,128,all,0.96522474,0.001727488
GraphSAGE,256,all,0.96827906,0.001432013
Node2Vec_0,8,positive,0.93828356,0.001766947
Node2Vec_0,16,positive,0.9454501,0.002102535
Node2Vec_0,32,positive,0.94398355,0.000787565
Node2Vec_0,64,positive,0.93619794,0.001437987
Node2Vec_0,128,positive,0.92555314,0.001644823
Node2Vec_0,256,positive,0.89461404,0.001840039
Node2Vec_0,8,negative,0.9433114,0.001403509
Node2Vec_0,16,negative,0.96319693,0.001380713
Node2Vec_0,32,negative,0.97244674,0.000364513
Node2Vec_0,64,negative,0.9758118,0.000627567
Node2Vec_0,128,negative,0.9732436,0.000719096
Node2Vec_0,256,negative,0.9660862,0.000353555
Node2Vec_0,8,all,0.9407975,0.000672403
Node2Vec_0,16,all,0.9543235,0.000702952
Node2Vec_0,32,all,0.9582151,0.000393497
Node2Vec_0,64,all,0.9560049,0.00071374
Node2Vec_0,128,all,0.9493984,0.000650733
Node2Vec_0,256,all,0.9303501,0.000820987
Node2Vec_1,8,positive,0.9411335,0.005394569
Node2Vec_1,16,positive,0.94675046,0.004198711
Node2Vec_1,32,positive,0.9488198,0.003385373
Node2Vec_1,64,positive,0.94294655,0.00270343
Node2Vec_1,128,positive,0.9315696,0.002912192
Node2Vec_1,256,positive,0.91128,0.003523928
Node2Vec_1,8,negative,0.9625225,0.002217339
Node2Vec_1,16,negative,0.9721673,0.001741412
Node2Vec_1,32,negative,0.9761144,0.001193942
Node2Vec_1,64,negative,0.9787334,0.000603215
Node2Vec_1,128,negative,0.9779459,0.001019964
Node2Vec_1,256,negative,0.973724,0.001140143
Node2Vec_1,8,all,0.951828,0.001652467
Node2Vec_1,16,all,0.9594588,0.001275139
Node2Vec_1,32,all,0.9624671,0.001149989
Node2Vec_1,64,all,0.96084005,0.001079422
Node2Vec_1,128,all,0.9547578,0.00105901
Node2Vec_1,256,all,0.942502,0.001200628
