model_name,embedding_dim,type,mean,std
GraphSAGE,8,positive,0.68764824,0.043258626
GraphSAGE,16,positive,0.71758896,0.04469156
GraphSAGE,32,positive,0.7025692,0.022515764
GraphSAGE,64,positive,0.6753953,0.033886936
GraphSAGE,128,positive,0.6853755,0.02028558
GraphSAGE,256,positive,0.66343874,0.028161885
GraphSAGE,8,negative,0.8048419,0.060438856
GraphSAGE,16,negative,0.8472332,0.061701864
GraphSAGE,32,negative,0.8789526,0.023305302
GraphSAGE,64,negative,0.8807312,0.024668155
GraphSAGE,128,negative,0.873913,0.011172562
GraphSAGE,256,negative,0.8798419,0.017387945
GraphSAGE,8,all,0.746245,0.050444745
GraphSAGE,16,all,0.7824111,0.027654933
GraphSAGE,32,all,0.7907609,0.019331068
GraphSAGE,64,all,0.7780632,0.016215473
GraphSAGE,128,all,0.77964425,0.007886588
GraphSAGE,256,all,0.7716403,0.009736586
Node2Vec_0,8,positive,0.69990116,0.012429006
Node2Vec_0,16,positive,0.7208498,0.008852014
Node2Vec_0,32,positive,0.70592886,0.007059509
Node2Vec_0,64,positive,0.6914032,0.005431186
Node2Vec_0,128,positive,0.6736166,0.004961419
Node2Vec_0,256,positive,0.6451581,0.004969285
Node2Vec_0,8,negative,0.8524704,0.019792719
Node2Vec_0,16,negative,0.9048419,0.00765475
Node2Vec_0,32,negative,0.9296443,0.00721816
Node2Vec_0,64,negative,0.9507905,0.002716941
Node2Vec_0,128,negative,0.9662055,0.004734845
Node2Vec_0,256,negative,0.9842885,0.002229349
Node2Vec_0,8,all,0.77618575,0.010259564
Node2Vec_0,16,all,0.8128459,0.00615431
Node2Vec_0,32,all,0.8177866,0.002603142
Node2Vec_0,64,all,0.8210968,0.003752665
Node2Vec_0,128,all,0.8199111,0.002607367
Node2Vec_0,256,all,0.8147233,0.002576754
Node2Vec_1,8,positive,0.54664034,0.020575209
Node2Vec_1,16,positive,0.5535573,0.016768165
Node2Vec_1,32,positive,0.5477272,0.013876628
Node2Vec_1,64,positive,0.5435771,0.009866093
Node2Vec_1,128,positive,0.538241,0.015505027
Node2Vec_1,256,positive,0.5299407,0.014623508
Node2Vec_1,8,negative,0.9898221,0.001400936
Node2Vec_1,16,negative,0.9939723,0.001792336
Node2Vec_1,32,negative,0.9959486,0.001358461
Node2Vec_1,64,negative,0.9974309,0.000905643
Node2Vec_1,128,negative,0.9972332,0.001518002
Node2Vec_1,256,negative,0.9975297,0.001189881
Node2Vec_1,8,all,0.76823115,0.01009273
Node2Vec_1,16,all,0.77376485,0.008406325
Node2Vec_1,32,all,0.77183795,0.00673751
Node2Vec_1,64,all,0.770504,0.005178333
Node2Vec_1,128,all,0.7677371,0.007137407
Node2Vec_1,256,all,0.7637352,0.006940941
