embedding_dim,model_name,pro_sim,knn_sim,sec_sim
8,GraphSAGE,0.667584619,0.052832997,0.611232882
8,GraphSAGE,0.60869427,0.051129715,0.583970906
8,GraphSAGE,0.117163302,0.052289599,0.407480904
8,GraphSAGE,0.688647487,0.061553976,0.645759684
8,GraphSAGE,0.735865979,0.065326987,0.655054166
8,GraphSAGE,0.201554558,0.040573251,0.609880139
8,GraphSAGE,0.094280982,0.033760238,0.40647869
8,GraphSAGE,0.612800368,0.058685419,0.551577487
8,GraphSAGE,0.619199041,0.057090914,0.60329924
8,GraphSAGE,0.939736308,0.095184307,0.911045809
8,GraphSAGE,0.383635506,0.052945985,0.689016262
8,GraphSAGE,0.792688135,0.068048299,0.779717562
8,GraphSAGE,0.875075948,0.089328596,0.904920536
8,GraphSAGE,0.315625396,0.046125086,0.581561381
8,GraphSAGE,0.362603192,0.036274229,0.68042746
8,GraphSAGE,0.955859679,0.109875773,0.910658576
8,GraphSAGE,0.252169733,0.04724785,0.416409237
8,GraphSAGE,0.460920704,0.05936263,0.76599599
8,GraphSAGE,0.711646558,0.072912171,0.73957236
8,GraphSAGE,0.899301664,0.114076111,0.909109447
8,GraphSAGE,0.31638976,0.048445479,0.609000859
8,GraphSAGE,0.461307456,0.04194552,0.732952479
8,GraphSAGE,0.960860502,0.114017816,0.947655832
8,GraphSAGE,0.190298927,0.050795713,0.40900743
8,GraphSAGE,0.150380166,0.04782411,0.547922912
8,GraphSAGE,0.448779428,0.066189738,0.718851199
8,GraphSAGE,0.031610419,0.037725998,0.413023037
8,GraphSAGE,0.803209716,0.058847013,0.790217403
8,GraphSAGE,0.512598234,0.069496502,0.781253228
8,GraphSAGE,0.004040787,0.041985119,0.39221718
8,GraphSAGE,0.721857109,0.066920675,0.763836589
8,GraphSAGE,0.35173823,0.058086726,0.674580111
8,GraphSAGE,0.15450163,0.0334177,0.580723815
8,GraphSAGE,0.724378553,0.071507017,0.714968927
